"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0009123,GO:0009123,nucleoside monophosphate metabolic process,23/591,322/18493,0.000293509,0.000920628,0.000381319,APRT/CDK1/CYCS/HIF1A/HPRT1/IGF1/MSH2/COX2/PARP1/PKM/PPARA/RAD50/RHOA/STAT3/TGFB1/TSPO/DCK/DDIT4/LDHA/NADK/P2RX7/PPAT/TIGAR,23,
GO:0007091,GO:0007091,metaphase/anaphase transition of mitotic cell cycle,8/591,54/18493,0.000295252,0.000925031,0.000383143,APC/ATM/PLK1/RAD21/RB1/CDC6/DUSP1/XRCC3,8,
GO:0061005,GO:0061005,cell differentiation involved in kidney development,8/591,54/18493,0.000295252,0.000925031,0.000383143,CTNNB1/GATA3/GDNF/PROM1/PTCH1/STAT1/CD24/SHH,8,
GO:0051187,GO:0051187,cofactor catabolic process,9/591,68/18493,0.000300241,0.000940123,0.000389394,CAT/GPX1/HBB/HMOX1/PRDX1/PRDX2/PRDX5/MT3/PRDX6,9,
GO:0070588,GO:0070588,calcium ion transmembrane transport,22/591,302/18493,0.000300878,0.000941579,0.000389997,ABL1/BAX/FASLG/LCK/PTK2B/PTPRC/TGFB1/THY1/ANXA5/ATG5/CCR7/FGF2/G6PD/HSPA2/IL13/LYN/NTSR1/P2RX7/P2RY6/PLCG2/PRKCE/RGN,22,
GO:0016331,GO:0016331,morphogenesis of embryonic epithelium,14/591,149/18493,0.000307689,0.000962341,0.000398596,ABL1/AR/CTNNB1/GATA3/GDNF/HIF1A/PTCH1/RET/SETD2/TGFB1/ARID1A/RALA/SHH/TP63,14,
GO:0009165,GO:0009165,nucleotide biosynthetic process,24/591,344/18493,0.00030913,0.000966295,0.000400234,APRT/CDS1/HIF1A/HPRT1/IGF1/COX2/NOS2/PARP1/PKM/PPARA/PTGS2/RAD50/RRM1/RRM2B/STAT3/TGFB1/DCK/DDIT4/LDHA/NADK/NOS3/P2RX7/PPAT/TIGAR,24,
GO:0007265,GO:0007265,Ras protein signal transduction,28/591,430/18493,0.00031515,0.000984552,0.000407796,ABL1/APOE/BCR/CCNA2/CDK2/CDKN1A/DAB2IP/HRAS/IGF1/ITGB1/JUN/KRAS/NOTCH2/RAC1/RAF1/RB1/RHOA/RHOB/TP53/CDKN2A/DNM2/DNMT1/DOK1/FGF2/FOXM1/NRAS/RALA/TRIM28,28,
GO:0007229,GO:0007229,integrin-mediated signaling pathway,11/591,99/18493,0.00031997,0.000997426,0.000413128,ABL1/ILK/ITGB1/PTK2/PTK2B/SRC/THY1/TIMP1/FLNA/ITGA5/ITGA6,11,
GO:0002828,GO:0002828,regulation of type 2 immune response,6/591,30/18493,0.000320366,0.000997426,0.000413128,GATA3/IFNB1/IL6/ANXA1/NLRP3/TNFSF4,6,
GO:0007143,GO:0007143,female meiotic nuclear division,6/591,30/18493,0.000320366,0.000997426,0.000413128,EREG/MLH1/PLK1/RAD51C/CDC25B/HSF1,6,
GO:0043372,GO:0043372,"positive regulation of CD4-positive, alpha-beta T cell differentiation",6/591,30/18493,0.000320366,0.000997426,0.000413128,FOXP3/IFNG/ANXA1/NLRP3/SOCS1/TNFSF4,6,
GO:0045907,GO:0045907,positive regulation of vasoconstriction,6/591,30/18493,0.000320366,0.000997426,0.000413128,AKT1/CAV1/EGFR/ICAM1/PTGS2/RHOA,6,
GO:1902692,GO:1902692,regulation of neuroblast proliferation,6/591,30/18493,0.000320366,0.000997426,0.000413128,CTNNB1/HIF1A/TGFB1/VEGFA/ASPM/SHH,6,
GO:0061448,GO:0061448,connective tissue development,20/591,263/18493,0.000321277,0.000999691,0.000414066,ATF2/BMP1/CDK4/CTNNB1/EGR1/HIF1A/MAPK14/SIRT1/TGFB1/TIMP1/ACVRL1/BMP2/EIF2AK3/FGF2/FGF4/FGFR1/LEP/PAXIP1/SERPINH1/SNAI1,20,
GO:0072524,GO:0072524,pyridine-containing compound metabolic process,14/591,150/18493,0.000329636,0.001025116,0.000424597,HIF1A/IGF1/PKM/PPARA/PTGS2/STAT3/DDIT4/G6PD/IDH1/LDHA/NADK/NOX1/P2RX7/TIGAR,14,
GO:0072659,GO:0072659,protein localization to plasma membrane,19/591,244/18493,0.000334519,0.001038493,0.000430138,ACTB/AKT1/AR/BCL2L1/CDH1/DAB2/EGFR/FAM126A/IFNG/IKBKB/ITGB1/PTCH1/TGFB1/TNF/CDH2/CDK5/FLNA/PRKCE/TNFRSF1A,19,
GO:0006775,GO:0006775,fat-soluble vitamin metabolic process,7/591,42/18493,0.000335078,0.001038493,0.000430138,IFNG/IL1B/NFKB1/TNF/FGFR1/PIAS4/SNAI1,7,
GO:0030811,GO:0030811,regulation of nucleotide catabolic process,7/591,42/18493,0.000335078,0.001038493,0.000430138,HIF1A/IGF1/PPARA/STAT3/DDIT4/P2RX7/TIGAR,7,
GO:0042088,GO:0042088,T-helper 1 type immune response,7/591,42/18493,0.000335078,0.001038493,0.000430138,HRAS/IL1B/MTOR/RELB/ANXA1/TLR4/TNFSF4,7,
GO:0045910,GO:0045910,negative regulation of DNA recombination,7/591,42/18493,0.000335078,0.001038493,0.000430138,FOXP3/MLH1/MSH2/MSH6/RIF1/TP53BP1/POLQ,7,
GO:1901985,GO:1901985,positive regulation of protein acetylation,7/591,42/18493,0.000335078,0.001038493,0.000430138,BRCA1/FOXP3/GATA3/IL1B/KAT5/TGFB1/PAXIP1,7,
GO:0040014,GO:0040014,regulation of multicellular organism growth,9/591,69/18493,0.000335659,0.001038528,0.000430153,ATP8A2/BCL2/CDK4/CREB1/IGF1/PTCH1/SOD1/STAT3/HSF1,9,
GO:0060395,GO:0060395,SMAD protein signal transduction,9/591,69/18493,0.000335659,0.001038528,0.000430153,DAB2/JUN/PARP1/SLC33A1/TGFB1/BMP2/FOS/HIPK2/SMAD2,9,
GO:0071300,GO:0071300,cellular response to retinoic acid,9/591,69/18493,0.000335659,0.001038528,0.000430153,ATM/CREB1/PTK2B/RET/LEP/LYN/NTRK3/PPARG/TNC,9,
GO:0090303,GO:0090303,positive regulation of wound healing,8/591,55/18493,0.000335979,0.001038929,0.000430319,HRAS/MTOR/ANXA1/CD36/PRKCE/SELP/SERPINE1/TLR4,8,
GO:0006754,GO:0006754,ATP biosynthetic process,12/591,116/18493,0.000339115,0.001046934,0.000433634,HIF1A/IGF1/COX2/PARP1/PKM/PPARA/STAT3/TGFB1/DDIT4/LDHA/P2RX7/TIGAR,12,
GO:0001708,GO:0001708,cell fate specification,10/591,84/18493,0.000339334,0.001046934,0.000433634,APC/AR/CTNNB1/ITGB1/PTCH1/FGF2/FGFR1/NTRK3/SHH/SOX2,10,
GO:0032465,GO:0032465,regulation of cytokinesis,10/591,84/18493,0.000339334,0.001046934,0.000433634,BCL2L1/PIK3C3/PLK1/RHOA/SETD2/CDC25B/CDC6/CETN2/CHMP4C/PRKCE,10,
GO:0045778,GO:0045778,positive regulation of ossification,10/591,84/18493,0.000339334,0.001046934,0.000433634,CTNNB1/HGF/IGF1/IL6/ILK/TGFB1/BMP2/JUND/P2RX7/TP63,10,
GO:0034765,GO:0034765,regulation of ion transmembrane transport,29/591,454/18493,0.000340413,0.001047935,0.000434049,ABL1/AGT/AKT1/BAX/CAV1/FXYD5/MMP9/MTOR/PER2/PTEN/PTK2B/TGFB1/THY1/ARC/ATG5/DNM2/FLNA/G6PD/HSPA2/IL13/LYN/NOX1/NOX5/NTSR1/P2RX7/P2RY6/PLCG2/PRKCE/RGN,29,
GO:0010869,GO:0010869,regulation of receptor biosynthetic process,5/591,20/18493,0.000341001,0.001047935,0.000434049,HIF1A/PPARA/HDAC1/HNRNPK/PPARG,5,
GO:0032656,GO:0032656,regulation of interleukin-13 production,5/591,20/18493,0.000341001,0.001047935,0.000434049,GATA3/HLA-E/IL4/NLRP3/TNFSF4,5,
GO:0033194,GO:0033194,response to hydroperoxide,5/591,20/18493,0.000341001,0.001047935,0.000434049,GPX1/JAK2/SP1/XRCC1/CD36,5,
GO:0042276,GO:0042276,error-prone translesion synthesis,5/591,20/18493,0.000341001,0.001047935,0.000434049,PCNA/REV3L/RPA1/RPA2/POLH,5,
GO:0051195,GO:0051195,negative regulation of cofactor metabolic process,5/591,20/18493,0.000341001,0.001047935,0.000434049,PPARA/STAT3/DDIT4/MT3/TIGAR,5,
GO:0060261,GO:0060261,positive regulation of transcription initiation from RNA polymerase II promoter,5/591,20/18493,0.000341001,0.001047935,0.000434049,CREB1/ESR1/HNF1A/TP53/PAXIP1,5,
GO:1902115,GO:1902115,regulation of organelle assembly,16/591,187/18493,0.00034373,0.001055727,0.000437276,ATMIN/BRCA1/CSF2/NPM1/PLK1/RHOA/SMC1A/SMC3/SRC/TNF/ATG5/CHMP4C/DNM2/GAP43/IL5/NTRK3,16,
GO:1901293,GO:1901293,nucleoside phosphate biosynthetic process,24/591,347/18493,0.000350857,0.001077013,0.000446093,APRT/CDS1/HIF1A/HPRT1/IGF1/COX2/NOS2/PARP1/PKM/PPARA/PTGS2/RAD50/RRM1/RRM2B/STAT3/TGFB1/DCK/DDIT4/LDHA/NADK/NOS3/P2RX7/PPAT/TIGAR,24,
GO:0003012,GO:0003012,muscle system process,29/591,456/18493,0.000365809,0.00112228,0.000464842,AGT/ATP8A2/CAV1/DES/GDNF/HMOX1/IGF1/IL1B/KIT/MTOR/PARP1/PPARA/PTGS2/PTK2/RHOA/SOD1/CAMK2G/FLNA/G6PD/GJA1/LEP/NOS3/PAK1/PARP2/PRKCA/PXN/TNFRSF1A/TNNT1/UCN,29,
GO:0017015,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,12/591,117/18493,0.000367135,0.001125086,0.000466004,CAV1/DAB2/SIRT1/TGFB1/ADAM17/DNM2/EP300/HIPK2/MEN1/RASL11B/SMAD2/STK11,12,
GO:0038095,GO:0038095,Fc-epsilon receptor signaling pathway,12/591,117/18493,0.000367135,0.001125086,0.000466004,IKBKB/JUN/MAPK8/NFKB1/RAC1/FOS/LYN/NFATC2/PAK1/PAK2/PIK3CB/PLCG2,12,
GO:0009167,GO:0009167,purine ribonucleoside monophosphate metabolic process,21/591,286/18493,0.000368512,0.001128673,0.00046749,APRT/CDK1/CYCS/HIF1A/HPRT1/IGF1/MSH2/COX2/PARP1/PKM/PPARA/RHOA/STAT3/TGFB1/TSPO/DDIT4/LDHA/NADK/P2RX7/PPAT/TIGAR,21,
GO:1903747,GO:1903747,regulation of establishment of protein localization to mitochondrion,9/591,70/18493,0.000374457,0.001146236,0.000474765,BCL2/CASP8/E2F1/MAPK8/TP53/BAP1/TP63/TP73/UBE2L3,9,
GO:0002042,GO:0002042,cell migration involved in sprouting angiogenesis,11/591,101/18493,0.000380979,0.00116158,0.00048112,ABL1/AKT1/EGR3/HMOX1/ITGB1/KDR/PTGS2/RHOA/VEGFA/ANXA1/FGF2,11,
GO:0032890,GO:0032890,regulation of organic acid transport,8/591,56/18493,0.00038117,0.00116158,0.00048112,AGT/AKT1/IL1B/PER2/LEP/NTSR1/P2RX7/TNFRSF11A,8,
GO:0035306,GO:0035306,positive regulation of dephosphorylation,8/591,56/18493,0.00038117,0.00116158,0.00048112,IFNG/JAK2/MTOR/PPP1R15A/PTPRC/TGFB1/BMP2/RGN,8,
GO:0042130,GO:0042130,negative regulation of T cell proliferation,8/591,56/18493,0.00038117,0.00116158,0.00048112,CASP3/ERBB2/FOXP3/TGFB1/IL10/PLA2G2D/SHH/TWSG1,8,
GO:0044784,GO:0044784,metaphase/anaphase transition of cell cycle,8/591,56/18493,0.00038117,0.00116158,0.00048112,APC/ATM/PLK1/RAD21/RB1/CDC6/DUSP1/XRCC3,8,
GO:0045843,GO:0045843,negative regulation of striated muscle tissue development,8/591,56/18493,0.00038117,0.00116158,0.00048112,PPARA/PTEN/SIRT2/TGFB1/BMP2/G6PD/PAK1/TP73,8,
GO:0048008,GO:0048008,platelet-derived growth factor receptor signaling pathway,8/591,56/18493,0.00038117,0.00116158,0.00048112,ABL1/BCR/JAK2/PLAT/PTEN/SRC/VEGFA/PDGFA,8,
GO:0090342,GO:0090342,regulation of cell aging,8/591,56/18493,0.00038117,0.00116158,0.00048112,ABL1/KRAS/PRKDC/PTEN/SIRT1/TERT/CDKN2A/FOXM1,8,
GO:0009126,GO:0009126,purine nucleoside monophosphate metabolic process,21/591,287/18493,0.000386024,0.001174281,0.00048638,APRT/CDK1/CYCS/HIF1A/HPRT1/IGF1/MSH2/COX2/PARP1/PKM/PPARA/RHOA/STAT3/TGFB1/TSPO/DDIT4/LDHA/NADK/P2RX7/PPAT/TIGAR,21,
GO:0006471,GO:0006471,protein ADP-ribosylation,6/591,31/18493,0.000386627,0.001174281,0.00048638,IFNG/PARP1/SIRT2/XRCC1/PARP2/TNKS,6,
GO:0010259,GO:0010259,multicellular organism aging,6/591,31/18493,0.000386627,0.001174281,0.00048638,ERCC1/MSH2/MSH6/TP53/TP63/WRN,6,
GO:0032620,GO:0032620,interleukin-17 production,6/591,31/18493,0.000386627,0.001174281,0.00048638,FOXP3/IFNG/IL2/TGFB1/TLR4/TNFSF4,6,
GO:0042554,GO:0042554,superoxide anion generation,6/591,31/18493,0.000386627,0.001174281,0.00048638,AGT/EGFR/SOD1/TGFB1/NOX1/NOX5,6,
GO:0055094,GO:0055094,response to lipoprotein particle,6/591,31/18493,0.000386627,0.001174281,0.00048638,AKT1/APOE/ITGB1/CD36/PPARG/TLR4,6,
GO:0010613,GO:0010613,positive regulation of cardiac muscle hypertrophy,7/591,43/18493,0.00038934,0.001177938,0.000487895,AGT/IGF1/MTOR/PARP1/PTK2/PARP2/PRKCA,7,
GO:0010907,GO:0010907,positive regulation of glucose metabolic process,7/591,43/18493,0.00038934,0.001177938,0.000487895,AKT1/GCG/IGF1/IRS1/PPARA/SRC/RGN,7,
GO:0014742,GO:0014742,positive regulation of muscle hypertrophy,7/591,43/18493,0.00038934,0.001177938,0.000487895,AGT/IGF1/MTOR/PARP1/PTK2/PARP2/PRKCA,7,
GO:0031648,GO:0031648,protein destabilization,7/591,43/18493,0.00038934,0.001177938,0.000487895,MDM2/PLK1/PRKDC/SIRT1/SRC/BMP2/EP300,7,
GO:0045601,GO:0045601,regulation of endothelial cell differentiation,7/591,43/18493,0.00038934,0.001177938,0.000487895,CTNNB1/IKBKB/IL1B/TNF/ACVRL1/TNFRSF1A/XDH,7,
GO:0045912,GO:0045912,negative regulation of carbohydrate metabolic process,7/591,43/18493,0.00038934,0.001177938,0.000487895,GSK3B/PPARA/STAT3/TGFB1/CLK2/DDIT4/TIGAR,7,
GO:0046688,GO:0046688,response to copper ion,7/591,43/18493,0.00038934,0.001177938,0.000487895,CDK1/ICAM1/IL1A/SOD1/DAXX/HSF1/MT3,7,
GO:0051262,GO:0051262,protein tetramerization,14/591,153/18493,0.000403698,0.001220702,0.000505608,ACHE/CAT/HIST1H3J/HIST4H4/HPRT1/IGF1R/PKM/RRM1/SOD2/TP53/PPAT/TP63/TP73/XRCC6,14,
GO:0002551,GO:0002551,mast cell chemotaxis,4/591,12/18493,0.000416484,0.001249487,0.00051753,KIT/RAC1/VEGFA/CCL11,4,
GO:0007077,GO:0007077,mitotic nuclear envelope disassembly,4/591,12/18493,0.000416484,0.001249487,0.00051753,CDK1/PLK1/PRKCA/VRK1,4,
GO:0009886,GO:0009886,post-embryonic animal morphogenesis,4/591,12/18493,0.000416484,0.001249487,0.00051753,BAK1/BAX/ATRX/HMGN1,4,
GO:0010763,GO:0010763,positive regulation of fibroblast migration,4/591,12/18493,0.000416484,0.001249487,0.00051753,AKT1/TGFB1/PAK1/PRKCE,4,
GO:0033160,GO:0033160,"positive regulation of protein import into nucleus, translocation",4/591,12/18493,0.000416484,0.001249487,0.00051753,CDK1/IFNG/IGF1/JAK2,4,
GO:0043383,GO:0043383,negative T cell selection,4/591,12/18493,0.000416484,0.001249487,0.00051753,PTPRC/ATG5/CCR7/SHH,4,
GO:0045342,GO:0045342,MHC class II biosynthetic process,4/591,12/18493,0.000416484,0.001249487,0.00051753,SIRT1/IL10/IL4/TLR4,4,
GO:0045820,GO:0045820,negative regulation of glycolytic process,4/591,12/18493,0.000416484,0.001249487,0.00051753,PPARA/STAT3/DDIT4/TIGAR,4,
GO:0070914,GO:0070914,UV-damage excision repair,4/591,12/18493,0.000416484,0.001249487,0.00051753,ERCC1/SIRT1/DDB2/XPC,4,
GO:0071679,GO:0071679,commissural neuron axon guidance,4/591,12/18493,0.000416484,0.001249487,0.00051753,GDNF/PTCH1/VEGFA/NCAM1,4,
GO:1901550,GO:1901550,regulation of endothelial cell development,4/591,12/18493,0.000416484,0.001249487,0.00051753,IKBKB/IL1B/TNF/TNFRSF1A,4,
GO:1903140,GO:1903140,regulation of establishment of endothelial barrier,4/591,12/18493,0.000416484,0.001249487,0.00051753,IKBKB/IL1B/TNF/TNFRSF1A,4,
GO:1903624,GO:1903624,regulation of DNA catabolic process,4/591,12/18493,0.000416484,0.001249487,0.00051753,ATM/BAX/HSF1/RGN,4,
GO:2000121,GO:2000121,regulation of removal of superoxide radicals,4/591,12/18493,0.000416484,0.001249487,0.00051753,DHFR/TNF/CD36/RGN,4,
GO:0006305,GO:0006305,DNA alkylation,9/591,71/18493,0.000416877,0.001249487,0.00051753,BRCA1/MGMT/MYC/PARP1/PPM1D/ATRX/DNMT1/FOS/TRIM28,9,
GO:0006306,GO:0006306,DNA methylation,9/591,71/18493,0.000416877,0.001249487,0.00051753,BRCA1/MGMT/MYC/PARP1/PPM1D/ATRX/DNMT1/FOS/TRIM28,9,
GO:1903844,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,12/591,119/18493,0.000429081,0.001285362,0.00053239,CAV1/DAB2/SIRT1/TGFB1/ADAM17/DNM2/EP300/HIPK2/MEN1/RASL11B/SMAD2/STK11,12,
GO:0016485,GO:0016485,protein processing,22/591,310/18493,0.000430859,0.00128792,0.000533449,ACE/BAK1/CASP1/CASP3/CASP8/CD59/CLU/IFI16/MDM2/PARP1/PIK3C3/PLAT/PSEN2/PTCH1/SRC/BIRC3/CASP2/CPE/P2RX7/SERPINE1/SHH/XIAP,22,
GO:0046626,GO:0046626,regulation of insulin receptor signaling pathway,8/591,57/18493,0.000431184,0.00128792,0.000533449,CDK4/IL1B/IRS1/SIRT1/SRC/LEP/SOCS1/SOCS3,8,
GO:0048635,GO:0048635,negative regulation of muscle organ development,8/591,57/18493,0.000431184,0.00128792,0.000533449,PPARA/PTEN/SIRT2/TGFB1/BMP2/G6PD/PAK1/TP73,8,
GO:0050766,GO:0050766,positive regulation of phagocytosis,8/591,57/18493,0.000431184,0.00128792,0.000533449,BCR/IL1B/PTPRC/TNF/CALR/CD36/DNM2/PPARG,8,
GO:0070228,GO:0070228,regulation of lymphocyte apoptotic process,8/591,57/18493,0.000431184,0.00128792,0.000533449,BAX/HIF1A/IL2/PTEN/TP53/IL10/LYN/P2RX7,8,
GO:0043271,GO:0043271,negative regulation of ion transport,14/591,154/18493,0.000431349,0.00128792,0.000533449,AKT1/BCL2/CAV1/ICAM1/MMP9/MTOR/PTEN/PTGS2/PTK2B/TGFB1/LEP/NOS3/NTSR1/PRKCE,14,
GO:0007095,GO:0007095,mitotic G2 DNA damage checkpoint,5/591,21/18493,0.000435877,0.001297184,0.000537286,ATM/CDK1/MRE11/MSH6/NBN,5,
GO:0031281,GO:0031281,positive regulation of cyclase activity,5/591,21/18493,0.000435877,0.001297184,0.000537286,MAPK14/MAPK8/NOS2/LHCGR/NOS3,5,
GO:0036499,GO:0036499,PERK-mediated unfolded protein response,5/591,21/18493,0.000435877,0.001297184,0.000537286,ATF3/PPP1R15A/CXCL8/EIF2AK3/IGFBP1,5,
GO:0043153,GO:0043153,entrainment of circadian clock by photoperiod,5/591,21/18493,0.000435877,0.001297184,0.000537286,MTA1/PER2/PML/TP53/PPP1CC,5,
GO:0050857,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,5/591,21/18493,0.000435877,0.001297184,0.000537286,LCK/PTPRC/CCR7/LYN/RPS3,5,
GO:0071359,GO:0071359,cellular response to dsRNA,5/591,21/18493,0.000435877,0.001297184,0.000537286,CAV1/IFNB1/NFKB1/NPM1/P2RX7,5,
GO:0046850,GO:0046850,regulation of bone remodeling,7/591,44/18493,0.000450406,0.001338967,0.000554592,EGFR/IL6/SRC/LEP/P2RX7/PRKCA/TNFRSF11A,7,
GO:0070316,GO:0070316,regulation of G0 to G1 transition,7/591,44/18493,0.000450406,0.001338967,0.000554592,BMI1/BRCA1/CHEK1/DAB2IP/E2F1/RAD51/RBBP8,7,
GO:0034446,GO:0034446,substrate adhesion-dependent cell spreading,10/591,87/18493,0.000451454,0.001339931,0.000554992,ABL1/BRAF/ILK/PTK2/RAC1/SRC/CALR/DNM2/FLNA/FN1,10,
GO:0055013,GO:0055013,cardiac muscle cell development,10/591,87/18493,0.000451454,0.001339931,0.000554992,AGT/CDK1/IGF1/MTOR/PPARA/VEGFA/ATG5/G6PD/PAK1/PARP2,10,
GO:0032091,GO:0032091,negative regulation of protein binding,11/591,103/18493,0.000451466,0.001339931,0.000554992,ACE/ACTB/AKT1/BAX/CAV1/DAB2/GSK3B/MAPK8/PPARA/IL10/NES,11,
GO:0048167,GO:0048167,regulation of synaptic plasticity,15/591,173/18493,0.000452888,0.001343421,0.000556437,ABL1/AGT/APOE/BRAF/CREB1/HRAS/KIT/KRAS/PTEN/PTGS2/PTK2B/ARC/CAMK2A/CDK5/GFAP,15,
GO:0045216,GO:0045216,cell-cell junction organization,14/591,155/18493,0.0004606,0.001365037,0.000565391,ACE/AGT/APC/CAV1/CDH1/IKBKB/RHOA/TGFB1/TNF/CDH2/GJA1/OCLN/PRKCA/SNAI1,14,
GO:0006270,GO:0006270,DNA replication initiation,6/591,32/18493,0.000463127,0.001365037,0.000565391,CCNE1/CDK2/NBN/POLA1/CDC6/MCM3,6,
GO:0010762,GO:0010762,regulation of fibroblast migration,6/591,32/18493,0.000463127,0.001365037,0.000565391,AKT1/BRAF/TGFB1/FGF2/PAK1/PRKCE,6,
GO:0014002,GO:0014002,astrocyte development,6/591,32/18493,0.000463127,0.001365037,0.000565391,EGFR/KRAS/TNF/GFAP/MT3/TLR4,6,
GO:0035510,GO:0035510,DNA dealkylation,6/591,32/18493,0.000463127,0.001365037,0.000565391,APEX1/GATA3/MGMT/APOBEC3G/TRIM28/USP9X,6,
GO:0048713,GO:0048713,regulation of oligodendrocyte differentiation,6/591,32/18493,0.000463127,0.001365037,0.000565391,CTNNB1/MTOR/HDAC1/PPARG/SHH/TP73,6,
GO:0061418,GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,6/591,32/18493,0.000463127,0.001365037,0.000565391,CA9/EGR1/HIF1A/SIRT2/VEGFA/EP300,6,
GO:0071353,GO:0071353,cellular response to interleukin-4,6/591,32/18493,0.000463127,0.001365037,0.000565391,CDK4/GATA3/IL24/PML/KEAP1/NFIL3,6,
GO:0071549,GO:0071549,cellular response to dexamethasone stimulus,6/591,32/18493,0.000463127,0.001365037,0.000565391,CASP9/EGFR/ICAM1/TGFB1/DDIT4/EIF4EBP1,6,
GO:1905314,GO:1905314,semi-lunar valve development,6/591,32/18493,0.000463127,0.001365037,0.000565391,GATA3/NOTCH2/RB1/NOS3/SNAI1/TNFRSF1A,6,
GO:2000758,GO:2000758,positive regulation of peptidyl-lysine acetylation,6/591,32/18493,0.000463127,0.001365037,0.000565391,BRCA1/FOXP3/GATA3/IL1B/TGFB1/PAXIP1,6,
GO:0061045,GO:0061045,negative regulation of wound healing,9/591,72/18493,0.000463173,0.001365037,0.000565391,APOE/PLAT/PTEN/ANXA5/FGF2/NOS3/PDGFA/PLAUR/SERPINE1,9,
GO:0007405,GO:0007405,neuroblast proliferation,8/591,58/18493,0.000486396,0.001431934,0.000593099,CTNNB1/HIF1A/TGFB1/VEGFA/ARTN/ASPM/FGFR1/SHH,8,
GO:0030520,GO:0030520,intracellular estrogen receptor signaling pathway,8/591,58/18493,0.000486396,0.001431934,0.000593099,AR/BRCA1/ESR1/PARP1/SRC/ARID1A/PAK1/TP63,8,
GO:0043506,GO:0043506,regulation of JUN kinase activity,10/591,88/18493,0.000495049,0.001456622,0.000603325,DAB2IP/ERCC6/MAP3K21/PTK2B/TNF/DAXX/PAK1/RPS3/TNFRSF11A/TRAF2,10,
GO:0001895,GO:0001895,retina homeostasis,9/591,73/18493,0.000513611,0.001510426,0.00062561,ACTB/ACTG1/ALB/ERCC6/HSPB1/PRDX1/PROM1/SOD1/TF,9,
GO:0060541,GO:0060541,respiratory system development,16/591,194/18493,0.000516779,0.001518924,0.00062913,CREB1/CTNNB1/EGFR/KRAS/LOX/TNF/VEGFA/EP300/FGFR1/IL13/MAP2K1/NOS3/PDGFA/SHH/SMAD2/TNC,16,
GO:0031018,GO:0031018,endocrine pancreas development,7/591,45/18493,0.000518876,0.001522631,0.000630665,AKT1/BAK1/GSK3B/IL6/ANXA1/EIF2AK3/MEN1,7,
GO:0034198,GO:0034198,cellular response to amino acid starvation,7/591,45/18493,0.000518876,0.001522631,0.000630665,ATF3/CDKN1A/FAS/MAPK8/MTOR/EIF2AK3/SESN2,7,
GO:0035987,GO:0035987,endodermal cell differentiation,7/591,45/18493,0.000518876,0.001522631,0.000630665,CTNNB1/MMP2/MMP9/SETD2/FN1/ITGA5/SOX2,7,
GO:0003007,GO:0003007,heart morphogenesis,19/591,253/18493,0.000524304,0.001537733,0.00063692,ATF2/CTNNB1/GATA3/HIF1A/ILK/JUN/MDM2/MTOR/NOTCH2/PTCH1/PTK2/TGFB1/VEGFA/ACVRL1/BMP2/CPE/NOS3/SHH/SNAI1,19,
GO:1990778,GO:1990778,protein localization to cell periphery,21/591,294/18493,0.000530274,0.001554408,0.000643827,ACTB/AKT1/AR/BCL2L1/CAV1/CDH1/DAB2/EGFR/FAM126A/HRAS/IFNG/IKBKB/ITGB1/PTCH1/TGFB1/TNF/CDH2/CDK5/FLNA/PRKCE/TNFRSF1A,21,
GO:0061387,GO:0061387,regulation of extent of cell growth,11/591,105/18493,0.000532557,0.001560264,0.000646253,ABL1/APOE/GSK3B/ILK/VEGFA/CDK5/DNM2/FN1/MT3/NTRK3/PAK1,11,
GO:0046173,GO:0046173,polyol biosynthetic process,8/591,59/18493,0.000547202,0.001601186,0.000663202,DHFR/PTK2B/FGF2/LEP/LHCGR/NTSR1/P2RY6/PLCG2,8,
GO:0001759,GO:0001759,organ induction,5/591,22/18493,0.000549358,0.001601186,0.000663202,AR/CTNNB1/GDNF/BMP2/FGFR1,5,
GO:0002052,GO:0002052,positive regulation of neuroblast proliferation,5/591,22/18493,0.000549358,0.001601186,0.000663202,CTNNB1/HIF1A/VEGFA/ASPM/SHH,5,
GO:0032069,GO:0032069,regulation of nuclease activity,5/591,22/18493,0.000549358,0.001601186,0.000663202,AKT1/NPM1/PCNA/SIRT1/RPS3,5,
GO:0032616,GO:0032616,interleukin-13 production,5/591,22/18493,0.000549358,0.001601186,0.000663202,GATA3/HLA-E/IL4/NLRP3/TNFSF4,5,
GO:0032727,GO:0032727,positive regulation of interferon-alpha production,5/591,22/18493,0.000549358,0.001601186,0.000663202,SETD2/STAT1/HSPD1/TBK1/TLR4,5,
GO:0042094,GO:0042094,interleukin-2 biosynthetic process,5/591,22/18493,0.000549358,0.001601186,0.000663202,CD4/FOXP3/IL1A/IL1B/PTPRC,5,
GO:0046823,GO:0046823,negative regulation of nucleocytoplasmic transport,5/591,22/18493,0.000549358,0.001601186,0.000663202,ANGPT1/BARD1/CD36/CDK5/TXN,5,
GO:0001774,GO:0001774,microglial cell activation,6/591,33/18493,0.00055092,0.001601186,0.000663202,ATM/CLU/JUN/PTPRC/TNF/IL13,6,
